point,точка
believe,верит
hold,держи
today,сегодня
bring,принесите
happen,случиться
next,следующее
without,без
before,дотогокак
large,большой
million,миллион
must,должен
home,вернутьсядомой
under,под
water,вода
room,комната
write,написать
mother,мать
area,область
national,национальная
money,денежная
story,история
young,молодой
fact,факт
month,месяц
different,разное
lot,много
study,учебная
book,книга
eye,глаз
job,работа
word,слово
though,хотя
business,бизнес
issue,вопрос
side,сторона
kind,вид
four,четыре
head,головы
far,далеко
black,черный
long,долго
both,оба
little,маленький
house,дом
yes,да
since,таккак
provide,оказывать
service,услуги
around,вокруг
friend,друга
important,важный
father,отец
sit,сидеть
away,встороне
until,до
power,час
hour,силы
game,игра
often,часто
yet,всеже
line,линия
political,политический
end,конец
among,среди
ever,когда-либо
stand,стоять
bad,плохо
lose,потерять
however,однако
member,член
pay,платить
law,закон
meet,встретить
car,автомобиль
city,город
almost,почти
include,включить
continue,продолжить
set,установить
later,позже
community,название
name,сообщества
five,пять
once,раз
white,белый
least,наименее
president,президент
learn,узнать
real,реальную
change,команду
team,изменения
minute,минута
best,лучше
several,несколько
idea,идея
kid,информация
body,отеле
information,ребенка
nothing,ничего
ago,назад
lead,вести
social,социальный
understand,понять
